[2026-06-15T10:15:41.282Z] GET http://localhost:8765/index.html → 200 (3ms, 4328B)
[2026-06-15T10:15:41.287Z] GET http://localhost:8765/assets/app.css → 200 (10ms, 26622B)
[2026-06-15T10:15:41.287Z] GET http://localhost:8765/js/data.js → 200 (12ms, 25427B)
[2026-06-15T10:15:41.289Z] GET http://localhost:8765/js/components.js → 200 (13ms, 11671B)
[2026-06-15T10:15:41.289Z] GET http://localhost:8765/js/router.js → 200 (12ms, 5813B)
[2026-06-15T10:15:41.289Z] GET http://localhost:8765/js/pages/dashboard.js → 200 (10ms, 11218B)
[2026-06-15T10:15:41.289Z] GET http://localhost:8765/js/pages/strategy.js → 200 (11ms, 9571B)
[2026-06-15T10:15:41.289Z] GET http://localhost:8765/js/pages/architecture.js → 200 (10ms, 8520B)
[2026-06-15T10:15:41.289Z] GET http://localhost:8765/js/pages/roles.js → 200 (28ms, 7711B)
[2026-06-15T10:15:41.289Z] GET http://localhost:8765/js/pages/closed-loop.js → 200 (28ms, 8117B)
[2026-06-15T10:15:41.289Z] GET http://localhost:8765/js/pages/prospect-push.js → 200 (27ms, 13631B)
[2026-06-15T10:15:41.289Z] GET http://localhost:8765/js/pages/enterprise-pool.js → 200 (31ms, 10818B)
[2026-06-15T10:15:41.289Z] GET http://localhost:8765/js/pages/enterprise-profile.js → 200 (28ms, 7197B)
[2026-06-15T10:15:41.289Z] GET http://localhost:8765/js/pages/survey-tasks.js → 200 (31ms, 13177B)
[2026-06-15T10:15:41.289Z] GET http://localhost:8765/js/pages/opportunity.js → 200 (31ms, 11237B)
[2026-06-15T10:15:41.289Z] GET http://localhost:8765/js/pages/hosting.js → 200 (31ms, 9996B)
[2026-06-15T10:15:41.289Z] GET http://localhost:8765/js/pages/hosting-detail.js → 200 (31ms, 10557B)
[2026-06-15T10:15:41.290Z] GET http://localhost:8765/js/pages/policy-calendar.js → 200 (30ms, 11660B)
[2026-06-15T10:15:41.290Z] GET http://localhost:8765/js/pages/policy-library.js → 200 (30ms, 9055B)
[2026-06-15T10:15:41.290Z] GET http://localhost:8765/js/pages/dynamics.js → 200 (30ms, 11870B)
[2026-06-15T10:15:41.290Z] GET http://localhost:8765/js/pages/project-plan.js → 200 (32ms, 10588B)
[2026-06-15T10:15:41.290Z] GET http://localhost:8765/js/pages/gap-tasks.js → 200 (31ms, 9323B)
[2026-06-15T10:15:41.290Z] GET http://localhost:8765/js/pages/writing-tasks.js → 200 (31ms, 9766B)
[2026-06-15T10:15:41.291Z] GET http://localhost:8765/js/pages/writing-editor.js → 200 (30ms, 10073B)
[2026-06-15T10:15:41.291Z] GET http://localhost:8765/js/pages/review-ai.js → 200 (30ms, 9615B)
[2026-06-15T10:15:41.291Z] GET http://localhost:8765/js/pages/review-expert.js → 200 (31ms, 10042B)
[2026-06-15T10:15:41.291Z] GET http://localhost:8765/js/pages/review-library.js → 200 (31ms, 9194B)
[2026-06-15T10:15:41.291Z] GET http://localhost:8765/js/pages/agents.js → 200 (31ms, 10013B)
[2026-06-15T10:15:41.291Z] GET http://localhost:8765/js/pages/agent-detail.js → 200 (31ms, 15524B)
[2026-06-15T10:15:41.291Z] GET http://localhost:8765/js/pages/service-products.js → 200 (32ms, 13462B)
[2026-06-15T10:15:41.291Z] GET http://localhost:8765/js/pages/orders.js → 200 (33ms, 12189B)
[2026-06-15T10:15:41.292Z] GET http://localhost:8765/js/pages/dispatch.js → 200 (32ms, 11153B)
[2026-06-15T10:15:41.292Z] GET http://localhost:8765/js/pages/settlement.js → 200 (32ms, 14198B)
[2026-06-15T10:15:41.292Z] GET http://localhost:8765/js/pages/task-center.js → 200 (32ms, 15930B)
[2026-06-15T10:15:41.292Z] GET http://localhost:8765/js/pages/data-objects.js → 200 (32ms, 10545B)
[2026-06-15T10:15:41.292Z] GET http://localhost:8765/js/pages/governance.js → 200 (33ms, 11828B)
[2026-06-15T10:15:41.292Z] GET http://localhost:8765/js/pages/mvp-roadmap.js → 200 (34ms, 7537B)
[2026-06-15T10:15:41.292Z] GET http://localhost:8765/js/pages/kpi.js → 200 (34ms, 10901B)
[2026-06-15T10:15:41.296Z] GET http://localhost:8765/js/pages/risk.js → 200 (30ms, 13057B)
