[2026-06-15T11:05:03.892Z] GET http://localhost:8888/ → 200 (10ms, 4136B)
[2026-06-15T11:05:03.911Z] GET http://localhost:8888/assets/app.css → 200 (18ms, 26622B)
[2026-06-15T11:05:03.911Z] GET http://localhost:8888/js/data.js → 200 (58ms, 25427B)
[2026-06-15T11:05:03.911Z] GET http://localhost:8888/js/components.js → 200 (61ms, 11671B)
[2026-06-15T11:05:03.911Z] GET http://localhost:8888/js/router.js → 200 (62ms, 4982B)
[2026-06-15T11:05:03.912Z] GET http://localhost:8888/js/pages/dashboard.js → 200 (62ms, 11106B)
[2026-06-15T11:05:03.912Z] GET http://localhost:8888/js/pages/prospect-push.js → 200 (60ms, 10583B)
[2026-06-15T11:05:03.915Z] GET http://localhost:8888/js/pages/enterprise-pool.js → 200 (58ms, 6657B)
[2026-06-15T11:05:03.916Z] GET http://localhost:8888/js/pages/enterprise-profile.js → 200 (58ms, 6216B)
[2026-06-15T11:05:03.916Z] GET http://localhost:8888/js/pages/survey-tasks.js → 200 (59ms, 5491B)
[2026-06-15T11:05:03.916Z] GET http://localhost:8888/js/pages/opportunity.js → 200 (59ms, 8822B)
[2026-06-15T11:05:03.916Z] GET http://localhost:8888/js/pages/hosting.js → 200 (60ms, 8101B)
[2026-06-15T11:05:03.916Z] GET http://localhost:8888/js/pages/hosting-detail.js → 200 (60ms, 8618B)
[2026-06-15T11:05:03.916Z] GET http://localhost:8888/js/pages/policy-calendar.js → 200 (64ms, 9773B)
[2026-06-15T11:05:03.922Z] GET http://localhost:8888/js/pages/policy-library.js → 200 (54ms, 7886B)
[2026-06-15T11:05:03.923Z] GET http://localhost:8888/js/pages/dynamics.js → 200 (53ms, 11149B)
[2026-06-15T11:05:03.923Z] GET http://localhost:8888/js/pages/project-plan.js → 200 (58ms, 10513B)
[2026-06-15T11:05:03.923Z] GET http://localhost:8888/js/pages/gap-tasks.js → 200 (58ms, 9260B)
[2026-06-15T11:05:03.923Z] GET http://localhost:8888/js/pages/writing-tasks.js → 200 (58ms, 8268B)
[2026-06-15T11:05:03.923Z] GET http://localhost:8888/js/pages/writing-editor.js → 200 (59ms, 10073B)
[2026-06-15T11:05:03.923Z] GET http://localhost:8888/js/pages/review-ai.js → 200 (59ms, 8478B)
[2026-06-15T11:05:03.925Z] GET http://localhost:8888/js/pages/review-expert.js → 200 (57ms, 9332B)
[2026-06-15T11:05:03.925Z] GET http://localhost:8888/js/pages/review-library.js → 200 (58ms, 9194B)
[2026-06-15T11:05:03.925Z] GET http://localhost:8888/js/pages/agents.js → 200 (58ms, 10013B)
[2026-06-15T11:05:03.925Z] GET http://localhost:8888/js/pages/agent-detail.js → 200 (57ms, 14928B)
[2026-06-15T11:05:03.925Z] GET http://localhost:8888/js/pages/service-products.js → 200 (60ms, 11743B)
[2026-06-15T11:05:03.925Z] GET http://localhost:8888/js/pages/orders.js → 200 (60ms, 11168B)
[2026-06-15T11:05:03.925Z] GET http://localhost:8888/js/pages/dispatch.js → 200 (60ms, 9331B)
[2026-06-15T11:05:03.927Z] GET http://localhost:8888/js/pages/settlement.js → 200 (58ms, 12971B)
[2026-06-15T11:05:03.927Z] GET http://localhost:8888/js/pages/task-center.js → 200 (58ms, 14120B)
[2026-06-15T11:05:03.927Z] GET http://localhost:8888/js/pages/data-objects.js → 404 (59ms, ?B)
[2026-06-15T11:05:03.927Z] GET http://localhost:8888/js/pages/governance.js → 404 (59ms, ?B)
[2026-06-15T11:05:03.927Z] GET http://localhost:8888/js/pages/mvp-roadmap.js → 404 (60ms, ?B)
